file	line	constructor	primary_owner	retry	redaction	rationale	source
crates/cdf-source-sqlite/src/catalog.rs	127	CdfError::data	sqlite_source_data	none	resource_or_schema_context_only	Missing, malformed, drifting, unsupported, or over-bound source data belongs to the selected SQLite resource.	return Err(CdfError::data(format!(
crates/cdf-source-sqlite/src/catalog.rs	136	CdfError::data	sqlite_source_data	none	resource_or_schema_context_only	Missing, malformed, drifting, unsupported, or over-bound source data belongs to the selected SQLite resource.	CdfError::data(format!(
crates/cdf-source-sqlite/src/catalog.rs	224	CdfError::data	sqlite_source_data	none	resource_or_schema_context_only	Missing, malformed, drifting, unsupported, or over-bound source data belongs to the selected SQLite resource.	Err(CdfError::data(format!(
crates/cdf-source-sqlite/src/catalog.rs	59	CdfError::data	sqlite_source_data	none	resource_or_schema_context_only	Missing, malformed, drifting, unsupported, or over-bound source data belongs to the selected SQLite resource.	CdfError::data(format!(
crates/cdf-source-sqlite/src/driver.rs	130	CdfError::data	sqlite_source_data	none	resource_or_schema_context_only	Missing, malformed, drifting, unsupported, or over-bound source data belongs to the selected SQLite resource.	CdfError::data("SQLite health probe produced no catalog candidate")
crates/cdf-source-sqlite/src/driver.rs	166	CdfError::contract	caller_contract	none	bounded_context	Invalid configuration, identifier, plan, predicate, or checkpoint supplied across the connector contract.	return Err(CdfError::contract(
crates/cdf-source-sqlite/src/driver.rs	185	CdfError::contract	caller_contract	none	bounded_context	Invalid configuration, identifier, plan, predicate, or checkpoint supplied across the connector contract.	CdfError::contract(format!(
crates/cdf-source-sqlite/src/driver.rs	224	CdfError::internal	cdf_invariant	none	operation_context_only	A compiled/validated invariant or Arrow assembly invariant failed inside CDF.	CdfError::internal(format!("serialize SQLite source plan: {error}"))
crates/cdf-source-sqlite/src/driver.rs	279	CdfError::contract	caller_contract	none	bounded_context	Invalid configuration, identifier, plan, predicate, or checkpoint supplied across the connector contract.	return Err(CdfError::contract(format!(
crates/cdf-source-sqlite/src/driver.rs	285	CdfError::contract	caller_contract	none	bounded_context	Invalid configuration, identifier, plan, predicate, or checkpoint supplied across the connector contract.	CdfError::contract("SQLite cdf add requires `--option table=<table>`")
crates/cdf-source-sqlite/src/driver.rs	292	CdfError::contract	caller_contract	none	bounded_context	Invalid configuration, identifier, plan, predicate, or checkpoint supplied across the connector contract.	return Err(CdfError::contract(
crates/cdf-source-sqlite/src/driver.rs	297	CdfError::contract	caller_contract	none	bounded_context	Invalid configuration, identifier, plan, predicate, or checkpoint supplied across the connector contract.	return Err(CdfError::contract(
crates/cdf-source-sqlite/src/driver.rs	303	CdfError::contract	caller_contract	none	bounded_context	Invalid configuration, identifier, plan, predicate, or checkpoint supplied across the connector contract.	.map_err(|_| CdfError::contract("SQLite cursor_encoding must be iso8601_text, unix_seconds, unix_milliseconds, unix_microseconds, or unix_nanoseconds")))
crates/cdf-source-sqlite/src/driver.rs	377	CdfError::contract	caller_contract	none	bounded_context	Invalid configuration, identifier, plan, predicate, or checkpoint supplied across the connector contract.	return Err(CdfError::contract(
crates/cdf-source-sqlite/src/driver.rs	436	CdfError::contract	caller_contract	none	bounded_context	Invalid configuration, identifier, plan, predicate, or checkpoint supplied across the connector contract.	.map_err(|error| CdfError::contract(format!("invalid SQLite source plan: {error}")))
crates/cdf-source-sqlite/src/driver.rs	444	CdfError::contract	caller_contract	none	bounded_context	Invalid configuration, identifier, plan, predicate, or checkpoint supplied across the connector contract.	.map_err(|error| CdfError::contract(format!("{label} options are invalid: {error}")))
crates/cdf-source-sqlite/src/driver.rs	497	CdfError::data	sqlite_source_data	none	resource_or_schema_context_only	Missing, malformed, drifting, unsupported, or over-bound source data belongs to the selected SQLite resource.	return Err(CdfError::data(
crates/cdf-source-sqlite/src/driver.rs	503	CdfError::contract	caller_contract	none	bounded_context	Invalid configuration, identifier, plan, predicate, or checkpoint supplied across the connector contract.	return Err(CdfError::contract(
crates/cdf-source-sqlite/src/driver.rs	508	CdfError::contract	caller_contract	none	bounded_context	Invalid configuration, identifier, plan, predicate, or checkpoint supplied across the connector contract.	return Err(CdfError::contract(
crates/cdf-source-sqlite/src/driver.rs	513	CdfError::contract	caller_contract	none	bounded_context	Invalid configuration, identifier, plan, predicate, or checkpoint supplied across the connector contract.	return Err(CdfError::contract(
crates/cdf-source-sqlite/src/driver.rs	528	CdfError::contract	caller_contract	none	bounded_context	Invalid configuration, identifier, plan, predicate, or checkpoint supplied across the connector contract.	.ok_or_else(|| CdfError::contract("SQLite source location must begin with `sqlite://`"))?;
crates/cdf-source-sqlite/src/driver.rs	530	CdfError::contract	caller_contract	none	bounded_context	Invalid configuration, identifier, plan, predicate, or checkpoint supplied across the connector contract.	return Err(CdfError::contract(
crates/cdf-source-sqlite/src/driver.rs	543	CdfError::contract	caller_contract	none	bounded_context	Invalid configuration, identifier, plan, predicate, or checkpoint supplied across the connector contract.	return Err(CdfError::contract(
crates/cdf-source-sqlite/src/driver.rs	551	CdfError::contract	caller_contract	none	bounded_context	Invalid configuration, identifier, plan, predicate, or checkpoint supplied across the connector contract.	.ok_or_else(|| CdfError::contract("SQLite source location must be valid UTF-8"))?
crates/cdf-source-sqlite/src/driver.rs	564	CdfError::contract	caller_contract	none	bounded_context	Invalid configuration, identifier, plan, predicate, or checkpoint supplied across the connector contract.	return Err(CdfError::contract(
crates/cdf-source-sqlite/src/driver.rs	589	CdfError::contract	caller_contract	none	bounded_context	Invalid configuration, identifier, plan, predicate, or checkpoint supplied across the connector contract.	database.strip_prefix(&project).map(Path::to_path_buf).map_err(|_| CdfError::contract(
crates/cdf-source-sqlite/src/driver.rs	597	CdfError::contract	caller_contract	none	bounded_context	Invalid configuration, identifier, plan, predicate, or checkpoint supplied across the connector contract.	.ok_or_else(|| CdfError::contract("SQLite project-relative path must be valid UTF-8"))
crates/cdf-source-sqlite/src/driver.rs	91	CdfError::contract	caller_contract	none	bounded_context	Invalid configuration, identifier, plan, predicate, or checkpoint supplied across the connector contract.	return Err(CdfError::contract(
crates/cdf-source-sqlite/src/error.rs	134	CdfError::rate_limited	regression_fixture	preserved_275ms	synthetic_literal	Exercises typed error preservation; not a production ownership decision.	let error = Error::ToSqlConversionFailure(Box::new(CdfError::rate_limited(
crates/cdf-source-sqlite/src/error.rs	145	CdfError::data	regression_fixture	none	synthetic_literal	Exercises typed error preservation; not a production ownership decision.	CdfError::data("source row is malformed"),
crates/cdf-source-sqlite/src/error.rs	29	CdfError::new	classified_boundary	kind_dependent_no_delay	action_plus_safe_error_display	Kind is computed by the exhaustive I/O/rusqlite classifier; embedded CdfError values bypass this constructor and preserve retry metadata.	CdfError::new(kind, format!("{action}: {error}"))
