file	line	syntax	primary_owner	retry	redaction	rationale	source
crates/cdf-source-clickhouse/src/catalog.rs	101	CdfError::internal	cdf_invariant	none	operation_context_only	A validated query, serialization, partition, schema-probe, or cursor invariant failed inside CDF.	            .ok_or_else(|| CdfError::internal("ClickHouse catalog poll lost decode authority"))?;
crates/cdf-source-clickhouse/src/catalog.rs	113	CdfError::data	clickhouse_source_data	none	bounded_resource_field_or_schema_context	Missing, malformed, drifting, unsupported, over-bound, or physically inconsistent remote data belongs to the selected source.	            return Err(CdfError::data(format!(
crates/cdf-source-clickhouse/src/catalog.rs	126	CdfError::data	clickhouse_source_data	none	bounded_resource_field_or_schema_context	Missing, malformed, drifting, unsupported, over-bound, or physically inconsistent remote data belongs to the selected source.	        return Err(CdfError::data(format!(
crates/cdf-source-clickhouse/src/catalog.rs	134	CdfError::data	clickhouse_source_data	none	bounded_resource_field_or_schema_context	Missing, malformed, drifting, unsupported, over-bound, or physically inconsistent remote data belongs to the selected source.	            return Err(CdfError::data(format!(
crates/cdf-source-clickhouse/src/catalog.rs	191	CdfError::data	clickhouse_source_data	none	bounded_resource_field_or_schema_context	Missing, malformed, drifting, unsupported, over-bound, or physically inconsistent remote data belongs to the selected source.	        return Err(CdfError::data(
crates/cdf-source-clickhouse/src/catalog.rs	196	CdfError::data	clickhouse_source_data	none	bounded_resource_field_or_schema_context	Missing, malformed, drifting, unsupported, over-bound, or physically inconsistent remote data belongs to the selected source.	        CdfError::data(format!(
crates/cdf-source-clickhouse/src/catalog.rs	204	CdfError::data	clickhouse_source_data	none	bounded_resource_field_or_schema_context	Missing, malformed, drifting, unsupported, over-bound, or physically inconsistent remote data belongs to the selected source.	        return Err(CdfError::data(format!(
crates/cdf-source-clickhouse/src/catalog.rs	217	CdfError::data	clickhouse_source_data	none	bounded_resource_field_or_schema_context	Missing, malformed, drifting, unsupported, over-bound, or physically inconsistent remote data belongs to the selected source.	                return Err(CdfError::data(format!(
crates/cdf-source-clickhouse/src/catalog.rs	225	CdfError::data	clickhouse_source_data	none	bounded_resource_field_or_schema_context	Missing, malformed, drifting, unsupported, over-bound, or physically inconsistent remote data belongs to the selected source.	                    return Err(CdfError::data(format!(
crates/cdf-source-clickhouse/src/catalog.rs	242	CdfError::data	clickhouse_source_data	none	bounded_resource_field_or_schema_context	Missing, malformed, drifting, unsupported, over-bound, or physically inconsistent remote data belongs to the selected source.	                    return Err(CdfError::data(format!(
crates/cdf-source-clickhouse/src/catalog.rs	278	CdfError::data	clickhouse_source_data	none	bounded_resource_field_or_schema_context	Missing, malformed, drifting, unsupported, over-bound, or physically inconsistent remote data belongs to the selected source.	        return Err(CdfError::data(
crates/cdf-source-clickhouse/src/catalog.rs	292	CdfError::data	clickhouse_source_data	none	bounded_resource_field_or_schema_context	Missing, malformed, drifting, unsupported, over-bound, or physically inconsistent remote data belongs to the selected source.	            .ok_or_else(|| CdfError::data("ClickHouse catalog text size overflowed"))?;
crates/cdf-source-clickhouse/src/catalog.rs	296	CdfError::data	clickhouse_source_data	none	bounded_resource_field_or_schema_context	Missing, malformed, drifting, unsupported, over-bound, or physically inconsistent remote data belongs to the selected source.	            .ok_or_else(|| CdfError::data("ClickHouse catalog model size overflowed"))?;
crates/cdf-source-clickhouse/src/catalog.rs	299	CdfError::data	clickhouse_source_data	none	bounded_resource_field_or_schema_context	Missing, malformed, drifting, unsupported, over-bound, or physically inconsistent remote data belongs to the selected source.	            .ok_or_else(|| CdfError::data("ClickHouse catalog model size overflowed"))?;
crates/cdf-source-clickhouse/src/catalog.rs	301	CdfError::data	clickhouse_source_data	none	bounded_resource_field_or_schema_context	Missing, malformed, drifting, unsupported, over-bound, or physically inconsistent remote data belongs to the selected source.	            return Err(CdfError::data(format!(
crates/cdf-source-clickhouse/src/catalog.rs	316	CdfError::data	clickhouse_source_data	none	bounded_resource_field_or_schema_context	Missing, malformed, drifting, unsupported, over-bound, or physically inconsistent remote data belongs to the selected source.	        return Err(CdfError::data(format!(
