file	line	constructor	primary_owner	retry	redaction	rationale	source
crates/cdf-source-sqlite/src/catalog.rs	144	CdfError::data	sqlite_source_data	none	resource_or_schema_context_only	Missing, malformed, drifting, unsupported, or over-bound source data belongs to the selected SQLite resource.	        return Err(CdfError::data(format!(
crates/cdf-source-sqlite/src/catalog.rs	153	CdfError::data	sqlite_source_data	none	resource_or_schema_context_only	Missing, malformed, drifting, unsupported, or over-bound source data belongs to the selected SQLite resource.	                CdfError::data(format!(
crates/cdf-source-sqlite/src/catalog.rs	241	CdfError::data	sqlite_source_data	none	resource_or_schema_context_only	Missing, malformed, drifting, unsupported, or over-bound source data belongs to the selected SQLite resource.	        Err(CdfError::data(format!(
crates/cdf-source-sqlite/src/catalog.rs	76	CdfError::data	sqlite_source_data	none	resource_or_schema_context_only	Missing, malformed, drifting, unsupported, or over-bound source data belongs to the selected SQLite resource.	                CdfError::data(format!(
crates/cdf-source-sqlite/src/driver.rs	103	CdfError::contract	caller_contract	none	bounded_context	Invalid configuration, native-query syntax, identifier, plan, predicate, or checkpoint supplied across the connector contract.	            return Err(CdfError::contract(
crates/cdf-source-sqlite/src/driver.rs	149	CdfError::data	sqlite_source_data	none	resource_or_schema_context_only	Missing, malformed, drifting, unsupported, or over-bound source data belongs to the selected SQLite resource.	                    CdfError::data("SQLite health probe produced no catalog candidate")
crates/cdf-source-sqlite/src/driver.rs	185	CdfError::contract	caller_contract	none	bounded_context	Invalid configuration, native-query syntax, identifier, plan, predicate, or checkpoint supplied across the connector contract.	            return Err(CdfError::contract(
crates/cdf-source-sqlite/src/driver.rs	213	CdfError::contract	caller_contract	none	bounded_context	Invalid configuration, native-query syntax, identifier, plan, predicate, or checkpoint supplied across the connector contract.	                        CdfError::contract(format!(
crates/cdf-source-sqlite/src/driver.rs	260	CdfError::internal	cdf_invariant	none	operation_context_only	A compiled/validated invariant, source-generation serialization, or Arrow assembly invariant failed inside CDF.	                    CdfError::internal(format!("serialize SQLite source plan: {error}"))
crates/cdf-source-sqlite/src/driver.rs	397	CdfError::contract	caller_contract	none	bounded_context	Invalid configuration, native-query syntax, identifier, plan, predicate, or checkpoint supplied across the connector contract.	            return Err(CdfError::contract(format!(
crates/cdf-source-sqlite/src/driver.rs	409	CdfError::contract	caller_contract	none	bounded_context	Invalid configuration, native-query syntax, identifier, plan, predicate, or checkpoint supplied across the connector contract.	            return Err(CdfError::contract(
crates/cdf-source-sqlite/src/driver.rs	414	CdfError::contract	caller_contract	none	bounded_context	Invalid configuration, native-query syntax, identifier, plan, predicate, or checkpoint supplied across the connector contract.	            return Err(CdfError::contract(
crates/cdf-source-sqlite/src/driver.rs	420	CdfError::contract	caller_contract	none	bounded_context	Invalid configuration, native-query syntax, identifier, plan, predicate, or checkpoint supplied across the connector contract.	                .map_err(|_| CdfError::contract("SQLite cursor_encoding must be iso8601_text, unix_seconds, unix_milliseconds, unix_microseconds, or unix_nanoseconds")))
crates/cdf-source-sqlite/src/driver.rs	531	CdfError::contract	caller_contract	none	bounded_context	Invalid configuration, native-query syntax, identifier, plan, predicate, or checkpoint supplied across the connector contract.	            return Err(CdfError::contract(
crates/cdf-source-sqlite/src/driver.rs	643	CdfError::contract	caller_contract	none	bounded_context	Invalid configuration, native-query syntax, identifier, plan, predicate, or checkpoint supplied across the connector contract.	        .map_err(|error| CdfError::contract(format!("invalid SQLite source plan: {error}")))
crates/cdf-source-sqlite/src/driver.rs	651	CdfError::contract	caller_contract	none	bounded_context	Invalid configuration, native-query syntax, identifier, plan, predicate, or checkpoint supplied across the connector contract.	        .map_err(|error| CdfError::contract(format!("{label} options are invalid: {error}")))
crates/cdf-source-sqlite/src/driver.rs	659	CdfError::contract	caller_contract	none	bounded_context	Invalid configuration, native-query syntax, identifier, plan, predicate, or checkpoint supplied across the connector contract.	                CdfError::contract(format!(
crates/cdf-source-sqlite/src/driver.rs	717	CdfError::data	sqlite_source_data	none	resource_or_schema_context_only	Missing, malformed, drifting, unsupported, or over-bound source data belongs to the selected SQLite resource.	        return Err(CdfError::data(
crates/cdf-source-sqlite/src/driver.rs	723	CdfError::contract	caller_contract	none	bounded_context	Invalid configuration, native-query syntax, identifier, plan, predicate, or checkpoint supplied across the connector contract.	            return Err(CdfError::contract(
crates/cdf-source-sqlite/src/driver.rs	728	CdfError::contract	caller_contract	none	bounded_context	Invalid configuration, native-query syntax, identifier, plan, predicate, or checkpoint supplied across the connector contract.	            return Err(CdfError::contract(
crates/cdf-source-sqlite/src/driver.rs	733	CdfError::contract	caller_contract	none	bounded_context	Invalid configuration, native-query syntax, identifier, plan, predicate, or checkpoint supplied across the connector contract.	            return Err(CdfError::contract(
crates/cdf-source-sqlite/src/driver.rs	748	CdfError::contract	caller_contract	none	bounded_context	Invalid configuration, native-query syntax, identifier, plan, predicate, or checkpoint supplied across the connector contract.	        .ok_or_else(|| CdfError::contract("SQLite source location must begin with `sqlite://`"))?;
crates/cdf-source-sqlite/src/driver.rs	750	CdfError::contract	caller_contract	none	bounded_context	Invalid configuration, native-query syntax, identifier, plan, predicate, or checkpoint supplied across the connector contract.	        return Err(CdfError::contract(
crates/cdf-source-sqlite/src/driver.rs	763	CdfError::contract	caller_contract	none	bounded_context	Invalid configuration, native-query syntax, identifier, plan, predicate, or checkpoint supplied across the connector contract.	                return Err(CdfError::contract(
crates/cdf-source-sqlite/src/driver.rs	771	CdfError::contract	caller_contract	none	bounded_context	Invalid configuration, native-query syntax, identifier, plan, predicate, or checkpoint supplied across the connector contract.	        .ok_or_else(|| CdfError::contract("SQLite source location must be valid UTF-8"))?
crates/cdf-source-sqlite/src/driver.rs	784	CdfError::contract	caller_contract	none	bounded_context	Invalid configuration, native-query syntax, identifier, plan, predicate, or checkpoint supplied across the connector contract.	        return Err(CdfError::contract(
crates/cdf-source-sqlite/src/driver.rs	809	CdfError::contract	caller_contract	none	bounded_context	Invalid configuration, native-query syntax, identifier, plan, predicate, or checkpoint supplied across the connector contract.	    database.strip_prefix(&project).map(Path::to_path_buf).map_err(|_| CdfError::contract(
crates/cdf-source-sqlite/src/driver.rs	817	CdfError::contract	caller_contract	none	bounded_context	Invalid configuration, native-query syntax, identifier, plan, predicate, or checkpoint supplied across the connector contract.	        .ok_or_else(|| CdfError::contract("SQLite project-relative path must be valid UTF-8"))
crates/cdf-source-sqlite/src/error.rs	134	CdfError::rate_limited	regression_fixture	preserved_275ms	synthetic_literal	Exercises typed error preservation; not a production ownership decision.	        let error = Error::ToSqlConversionFailure(Box::new(CdfError::rate_limited(
crates/cdf-source-sqlite/src/error.rs	145	CdfError::data	regression_fixture	none	synthetic_literal	Exercises typed error preservation; not a production ownership decision.	            CdfError::data("source row is malformed"),
